ID,Player,Name,T,R,SR,Mat,Inn,NO,HS,Avg,30s,50s,100s,6s
0,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png,Virat Kohli,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,741,154,15,15,3,113*,61,4,5,1,38
1,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,Ruturaj Gaikwad,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,583,141,14,14,3,108*,53,3,4,1,18
2,https://scores.iplt20.com/ipl/playerimages/Riyan Parag.png,Riyan Parag,https://scores.iplt20.com/ipl/teamlogos/RR.png?,573,149,16,14,3,84*,52,5,4,0,33
3,https://scores.iplt20.com/ipl/playerimages/Travis Head.png,Travis Head,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,567,191,15,15,1,102,40,3,4,1,32
4,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png,Sanju Samson,https://scores.iplt20.com/ipl/teamlogos/RR.png?,531,153,16,15,4,86,48,1,5,0,24
5,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png,Sai Sudharsan,https://scores.iplt20.com/ipl/teamlogos/GT.png?,527,141,12,12,1,103,47,7,2,1,16
6,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png,KL Rahul,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,520,136,14,14,0,82,37,3,4,0,19
7,https://scores.iplt20.com/ipl/playerimages/Nicholas Pooran.png,Nicholas Pooran,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,499,178,14,14,6,75,62,6,3,0,36
8,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png,Sunil Narine,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,488,180,15,14,0,109,34,1,3,1,33
9,https://scores.iplt20.com/ipl/playerimages/Abhishek Sharma.png,Abhishek Sharma,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,484,204,16,16,1,75*,32,5,3,0,42
10,https://scores.iplt20.com/ipl/playerimages/Heinrich Klaasen.png,Heinrich Klaasen,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,479,171,16,15,3,80*,39,3,4,0,38
11,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png,Rishabh Pant,https://scores.iplt20.com/ipl/teamlogos/DC.png?,446,155,13,13,2,88*,40,3,3,0,25
12,https://scores.iplt20.com/ipl/playerimages/Faf du Plessis.png,Faf du Plessis,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,438,161,15,15,0,64,29,2,4,0,21
13,https://scores.iplt20.com/ipl/playerimages/Phil Salt.png,Phil Salt,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,435,182,12,12,1,89*,39,3,4,0,24
14,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png,Yashasvi Jaiswal,https://scores.iplt20.com/ipl/teamlogos/RR.png?,435,155,16,15,1,104*,31,3,1,1,16
15,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,Shubman Gill,https://scores.iplt20.com/ipl/teamlogos/GT.png?,426,147,12,12,1,104,38,3,2,1,15
16,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png,Rohit Sharma,https://scores.iplt20.com/ipl/teamlogos/MI.png?,417,150,14,14,1,105*,32,4,1,1,23
17,https://scores.iplt20.com/ipl/playerimages/Tilak Varma.png,Tilak Varma,https://scores.iplt20.com/ipl/teamlogos/MI.png?,416,149,13,13,3,65,41,5,3,0,19
18,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png,Shivam Dube,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,396,162,14,14,3,66,36,3,3,0,28
19,https://scores.iplt20.com/ipl/playerimages/Rajat Patidar.png,Rajat Patidar,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,395,177,15,13,0,55,30,2,5,0,33
20,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png,Marcus Stoinis,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,388,147,14,14,2,124*,32,1,2,1,16
21,https://scores.iplt20.com/ipl/playerimages/Tristan Stubbs.png,Tristan Stubbs,https://scores.iplt20.com/ipl/teamlogos/DC.png?,378,190,14,13,6,71*,54,3,3,0,26
22,https://scores.iplt20.com/ipl/playerimages/Venkatesh Iyer.png,Venkatesh Iyer,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,370,158,15,13,5,70,46,2,4,0,19
23,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png,Jos Buttler,https://scores.iplt20.com/ipl/teamlogos/RR.png?,359,140,11,11,2,107*,39,2,0,2,12
24,https://scores.iplt20.com/ipl/playerimages/Shashank Singh.png,Shashank Singh,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,354,164,14,14,6,68*,44,3,2,0,21
25,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,Shreyas Iyer,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,351,146,15,14,5,58*,39,4,2,0,14
26,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png,Suryakumar Yadav,https://scores.iplt20.com/ipl/teamlogos/MI.png?,345,167,11,11,1,102*,34,0,3,1,18
27,https://scores.iplt20.com/ipl/playerimages/Prabhsimran Singh.png,Prabhsimran Singh,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,334,156,14,14,0,71,23,3,2,0,20
28,https://scores.iplt20.com/ipl/playerimages/Jake Fraser-McGurk.png,Jake Fraser-McGurk,https://scores.iplt20.com/ipl/teamlogos/DC.png?,330,234,9,9,0,84,36,0,4,0,28
29,https://scores.iplt20.com/ipl/playerimages/Abishek Porel.png,Abishek Porel,https://scores.iplt20.com/ipl/teamlogos/DC.png?,327,159,14,12,2,65,32,4,2,0,13
30,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png,Dinesh Karthik,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,326,187,15,13,4,83,36,1,2,0,22
31,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png,Ishan Kishan,https://scores.iplt20.com/ipl/teamlogos/MI.png?,320,148,14,14,0,69,22,4,1,0,16
32,https://scores.iplt20.com/ipl/playerimages/Daryl Mitchell.png,Daryl Mitchell,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,318,142,13,13,2,63,28,2,2,0,10
33,https://scores.iplt20.com/ipl/playerimages/Nitish Kumar Reddy.png,Nitish Kumar Reddy,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,303,142,13,11,2,76*,33,2,2,0,21
34,https://scores.iplt20.com/ipl/playerimages/Jonny Bairstow.png,Jonny Bairstow,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,298,152,11,11,1,108*,29,2,0,1,14
35,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png,Sam Curran,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,270,123,13,12,2,63*,27,0,2,0,6
36,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png,Ravindra Jadeja,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,267,142,14,11,5,57*,44,3,1,0,8
37,https://scores.iplt20.com/ipl/playerimages/Cameron Green.png,Cameron Green,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,255,143,13,12,4,46,31,5,0,0,10
38,https://scores.iplt20.com/ipl/playerimages/Quinton de Kock.png,Quinton de Kock,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,250,134,11,11,0,81,22,0,3,0,9
39,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png,Ajinkya Rahane,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,242,123,13,12,0,45,20,4,0,0,7
40,https://scores.iplt20.com/ipl/playerimages/Tim David.png,Tim David,https://scores.iplt20.com/ipl/teamlogos/MI.png?,241,158,13,11,3,45*,30,4,0,0,15
41,https://scores.iplt20.com/ipl/playerimages/Ayush Badoni.png,Ayush Badoni,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,235,137,14,12,4,55*,29,0,2,0,5
42,https://scores.iplt20.com/ipl/playerimages/Axar Patel.png,Axar Patel,https://scores.iplt20.com/ipl/teamlogos/DC.png?,235,131,14,12,4,66,29,0,2,0,10
43,https://scores.iplt20.com/ipl/playerimages/Andre Russell.png,Andre Russell,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,222,185,15,9,2,64*,31,1,1,0,16
44,https://scores.iplt20.com/ipl/playerimages/Rachin Ravindra.png,Rachin Ravindra,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,222,160,10,10,0,61,22,2,1,0,12
45,https://scores.iplt20.com/ipl/playerimages/Aiden Markram.png,Aiden Markram,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,220,124,11,11,2,50,24,3,1,0,4
46,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png,Hardik Pandya,https://scores.iplt20.com/ipl/teamlogos/MI.png?,216,143,14,13,1,46,18,3,0,0,11
47,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png,Shahbaz Ahmed,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,215,129,16,12,3,59*,23,1,1,0,13
48,https://scores.iplt20.com/ipl/playerimages/Rilee Rossouw.png,Rilee Rossouw,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,211,181,8,8,0,61,26,2,1,0,11
49,https://scores.iplt20.com/ipl/playerimages/David Miller.png,David Miller,https://scores.iplt20.com/ipl/teamlogos/GT.png?,210,151,9,9,3,55,35,2,1,0,8
50,https://scores.iplt20.com/ipl/playerimages/Prithvi Shaw.png,Prithvi Shaw,https://scores.iplt20.com/ipl/teamlogos/DC.png?,198,163,8,8,0,66,24,2,1,0,5
51,https://scores.iplt20.com/ipl/playerimages/Dhruv Jurel.png,Dhruv Jurel,https://scores.iplt20.com/ipl/teamlogos/RR.png?,195,138,15,11,3,56*,24,0,2,0,7
52,https://scores.iplt20.com/ipl/playerimages/Ashutosh Sharma.png,Ashutosh Sharma,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,189,167,11,9,2,61,27,3,1,0,15
53,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png,Rahul Tewatia,https://scores.iplt20.com/ipl/teamlogos/GT.png?,188,145,12,9,2,36*,26,3,0,0,5
54,https://scores.iplt20.com/ipl/playerimages/Jitesh Sharma.png,Jitesh Sharma,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,187,131,14,12,1,32*,17,1,0,0,12
55,https://scores.iplt20.com/ipl/playerimages/Shai Hope.png,Shai Hope,https://scores.iplt20.com/ipl/teamlogos/DC.png?,183,150,9,9,1,41,22,3,0,0,12
56,https://scores.iplt20.com/ipl/playerimages/Abdul Samad.png,Abdul Samad,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,182,168,16,12,2,37*,18,1,0,0,11
57,https://scores.iplt20.com/ipl/playerimages/Rinku Singh.png,Rinku Singh,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,168,148,15,11,2,26,18,0,0,0,8
58,https://scores.iplt20.com/ipl/playerimages/David Warner.png,David Warner,https://scores.iplt20.com/ipl/teamlogos/DC.png?,168,134,8,8,0,52,21,1,1,0,10
59,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png,Rahul Tripathi,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,165,143,6,6,0,55,27,2,1,0,6
60,https://scores.iplt20.com/ipl/playerimages/Angkrish Raghuvanshi.png,Angkrish Raghuvanshi,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,163,155,10,7,0,54,23,2,1,0,8
61,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png,MS Dhoni,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,161,220,14,11,8,37*,53,1,0,0,13
62,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,Shikhar Dhawan,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,152,125,5,5,0,70,30,1,1,0,4
63,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png,Deepak Hooda,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,145,138,11,9,1,50,18,0,1,0,3
64,https://scores.iplt20.com/ipl/playerimages/Naman Dhir.png,Naman Dhir,https://scores.iplt20.com/ipl/teamlogos/MI.png?,140,177,7,7,1,62*,23,1,1,0,10
65,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png,Pat Cummins,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,136,143,16,10,4,35*,22,3,0,0,8
66,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png,Wriddhiman Saha,https://scores.iplt20.com/ipl/teamlogos/GT.png?,136,118,9,9,0,39,15,1,0,0,3
67,https://scores.iplt20.com/ipl/playerimages/Krunal Pandya.png,Krunal Pandya,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,133,126,14,12,8,43*,33,1,0,0,5
68,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png,Moeen Ali,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,128,130,8,5,0,56,25,1,1,0,8
69,https://scores.iplt20.com/ipl/playerimages/Shahrukh Khan.png,Shahrukh Khan,https://scores.iplt20.com/ipl/teamlogos/GT.png?,127,169,7,7,0,58,18,1,1,0,9
70,https://scores.iplt20.com/ipl/playerimages/Ramandeep Singh.png,Ramandeep Singh,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,125,201,15,9,5,35,31,1,0,0,12
71,https://scores.iplt20.com/ipl/playerimages/Mahipal Lomror.png,Mahipal Lomror,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,125,183,10,10,2,33,15,2,0,0,9
72,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png,Shimron Hetmyer,https://scores.iplt20.com/ipl/teamlogos/RR.png?,113,163,12,9,4,27*,22,0,0,0,7
73,https://scores.iplt20.com/ipl/playerimages/Liam Livingstone.png,Liam Livingstone,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,111,142,7,7,2,38*,22,1,0,0,7
