,ID,Name,Runs_scored,Bat_Strike,Mat,Inn,NO,HS,Bat_Avg,30s,50s,100s,6s,Wickets_Taken,Ball_Avg,Ovr,Runs_conceeded,BBF,EC,Ball_Strike,3w,5w,Mdns,Team,Player,role,batting_style,bowling_style
137,137.0,Ruturaj Gaikwad,583.0,141.0,14.0,14.0,3.0,108*,53,3.0,4.0,1.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png,Batter,Right hand Bat,Right arm Offbreak
138,138.0,Sai Kishore,13.0,216.0,5.0,2.0,1.0,13,13,0.0,0.0,0.0,2.0,7.0,19.0,15.0,137.0,4/33,9.0,12.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sai Kishore.png,,,
139,139.0,Sai Sudharsan,527.0,141.0,12.0,12.0,1.0,103,47,7.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sai Sudharsan.png,Top order Batter,Left hand Bat,Legbreak
140,140.0,Sam Curran,270.0,123.0,13.0,12.0,2.0,63*,27,0.0,2.0,0.0,6.0,16.0,26.0,41.0,416.0,3/28,10.0,15.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png,Allrounder,Left hand Bat,Left arm Medium fast
141,141.0,Sameer Rizvi,51.0,118.0,8.0,5.0,1.0,21,12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Sameer Rizvi.png,,,
142,142.0,Sandeep Sharma,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13.0,23.0,38.0,311.0,5/18,8.0,17.0,0.0,1.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png,Bowler,Right hand Bat,Right arm Medium
143,143.0,Sandeep Warrier,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0,19.0,11.0,119.0,3/15,10.0,11.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Sandeep Warrier.png,Bowler,Right hand Bat,Right arm Medium
144,144.0,Sanju Samson,531.0,153.0,16.0,15.0,4.0,86,48,1.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Sanju Samson.png,Wicketkeeper Batter,Right hand Bat,DNB
145,145.0,Sanvir Singh,14.0,116.0,4.0,3.0,2.0,8*,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Sanvir Singh.png,Allrounder,Right hand Bat,Right arm Medium
146,146.0,Saurav Chauhan,18.0,120.0,3.0,3.0,0.0,9,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Saurav Chauhan.png,,,
147,147.0,Shahbaz Ahmed,215.0,129.0,16.0,12.0,3.0,59*,23,1.0,1.0,0.0,13.0,7.0,38.0,27.0,270.0,3/23,9.0,23.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Shahbaz Ahmed.png,Allrounder,Left hand Bat,Slow Left arm Orthodox
148,148.0,Shahrukh Khan,127.0,169.0,7.0,7.0,0.0,58,18,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Shahrukh Khan.png,,,
149,149.0,Shai Hope,183.0,150.0,9.0,9.0,1.0,41,22,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/DC.png?,https://scores.iplt20.com/ipl/playerimages/Shai Hope.png,,,
150,150.0,Shardul Thakur,21.0,123.0,9.0,3.0,2.0,17,21,0.0,0.0,0.0,1.0,5.0,61.0,31.0,309.0,2/61,9.0,38.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png,Bowler,Right hand Bat,Right arm Medium
151,151.0,Shashank Singh,354.0,164.0,14.0,14.0,6.0,68*,44,3.0,2.0,0.0,21.0,1.0,5.0,1.0,5.0,1/5,5.0,6.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Shashank Singh.png,,,
152,152.0,Shikhar Dhawan,152.0,125.0,5.0,5.0,0.0,70,30,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png,Opening Batter,Left hand Bat,Right arm Offbreak
153,153.0,Shimron Hetmyer,113.0,163.0,12.0,9.0,4.0,27*,22,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png,Top order Batter,Left hand Bat,DNB
154,154.0,Shivam Dube,396.0,162.0,14.0,14.0,3.0,66,36,3.0,3.0,0.0,28.0,1.0,14.0,1.0,14.0,1/14,14.0,6.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Shivam Dube.png,Allrounder,Left hand Bat,Right arm Medium
155,155.0,Shreyas Gopal,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,22.0,7.0,67.0,1/9,9.0,14.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Shreyas Gopal.png,,,
156,156.0,Shreyas Iyer,351.0,146.0,15.0,14.0,5.0,58*,39,4.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png,Top order Batter,Right hand Bat,Right arm Offbreak
157,157.0,Shubham Dubey,33.0,173.0,4.0,3.0,1.0,25,16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Shubham Dubey.png,,,
158,158.0,Shubman Gill,426.0,147.0,12.0,12.0,1.0,104,38,3.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png,Opening Batter,Right hand Bat,Right arm Offbreak
159,159.0,Sikandar Raza,43.0,113.0,2.0,2.0,0.0,28,21,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Sikandar Raza.png,Batting Allrounder,Right hand Bat,Right arm Offbreak
160,160.0,Simarjeet Singh,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.0,24.0,12.0,121.0,3/26,10.0,14.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Simarjeet Singh.png,Bowler,Right hand Bat,Right arm Medium fast
161,161.0,Spencer Johnson,6.0,85.0,5.0,3.0,3.0,5*,-,0.0,0.0,0.0,0.0,4.0,37.0,16.0,151.0,2/25,9.0,24.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Spencer Johnson.png,,,
162,162.0,Sumit Kumar,18.0,75.0,4.0,3.0,1.0,9*,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/DC.png?,https://scores.iplt20.com/ipl/playerimages/Sumit Kumar.png,,,
163,163.0,Sunil Narine,488.0,180.0,15.0,14.0,0.0,109,34,1.0,3.0,1.0,33.0,17.0,21.0,55.0,368.0,2/22,6.0,19.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png,Bowling Allrounder,Left hand Bat,Right arm Offbreak
164,164.0,Suryakumar Yadav,345.0,167.0,11.0,11.0,1.0,102*,34,0.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png,Batter,Right hand Bat,Right arm Offbreak
165,165.0,Suyash Prabhudessai,24.0,133.0,1.0,1.0,0.0,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Suyash Prabhudessai.png,Batting Allrounder,Right hand Bat,Right arm Medium
166,166.0,Swapnil Singh,37.0,176.0,7.0,5.0,3.0,15*,18,0.0,0.0,0.0,3.0,6.0,22.0,15.0,133.0,2/28,8.0,15.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Swapnil Singh.png,Bowler,Right hand Bat,Slow Left arm Orthodox
167,167.0,T Natarajan,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,19.0,24.0,51.0,465.0,4/19,9.0,16.0,2.0,0.0,1.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/T Natarajan.png,Bowler,Left hand Bat,Left arm Medium
168,168.0,Tanush Kotian,24.0,77.0,1.0,1.0,0.0,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Tanush Kotian.png,,,
169,169.0,Tilak Varma,416.0,149.0,13.0,13.0,3.0,65,41,5.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Tilak Varma.png,Batting Allrounder,Left hand Bat,Right arm Offbreak
170,170.0,Tim David,241.0,158.0,13.0,11.0,3.0,45*,30,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/MI.png?,https://scores.iplt20.com/ipl/playerimages/Tim David.png,Middle order Batter,Right hand Bat,Right arm Offbreak
171,171.0,Tom Kohler-Cadmore,48.0,88.0,4.0,3.0,0.0,20,16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Tom Kohler-Cadmore.png,,,
172,172.0,Travis Head,567.0,191.0,15.0,15.0,1.0,102,40,3.0,4.0,1.0,32.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Travis Head.png,,,
173,173.0,Trent Boult,14.0,87.0,16.0,5.0,3.0,12,7,0.0,0.0,0.0,0.0,16.0,27.0,53.0,443.0,3/22,8.0,20.0,2.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png,Bowler,Right hand Bat,Left arm Fast medium
174,174.0,Tristan Stubbs,378.0,190.0,14.0,13.0,6.0,71*,54,3.0,3.0,0.0,26.0,3.0,5.0,2.0,15.0,2/11,7.0,4.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/DC.png?,https://scores.iplt20.com/ipl/playerimages/Tristan Stubbs.png,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
175,175.0,Tushar Deshpande,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,17.0,24.0,48.0,424.0,4/27,8.0,16.0,2.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/CSK.png?,https://scores.iplt20.com/ipl/playerimages/Tushar Deshpande.png,Bowler,Left hand Bat,Right arm Medium
176,176.0,Umesh Yadav,12.0,80.0,7.0,2.0,1.0,10*,12,0.0,0.0,0.0,1.0,8.0,26.0,21.0,210.0,2/22,10.0,15.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png,Bowler,Right hand Bat,Right arm Fast
177,177.0,Vaibhav Arora,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,11.0,25.0,30.0,276.0,3/27,9.0,16.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Vaibhav Arora.png,Bowler,Right hand Bat,Right arm Fast medium
178,178.0,Varun Chakaravarthy,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,21.0,19.0,50.0,402.0,3/16,8.0,14.0,3.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png,,,
179,179.0,Venkatesh Iyer,370.0,158.0,15.0,13.0,5.0,70,46,2.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/KKR.png?,https://scores.iplt20.com/ipl/playerimages/Venkatesh Iyer.png,Allrounder,Left hand Bat,Right arm Medium
180,180.0,Vidwath Kaverappa,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,18.0,4.0,36.0,2/36,9.0,12.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/PBKS.png?,https://scores.iplt20.com/ipl/playerimages/Vidwath Kaverappa.png,Bowler,Right hand Bat,Right arm Fast medium
181,181.0,Vijay Shankar,83.0,115.0,7.0,7.0,2.0,17,16,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Vijay Shankar.png,Allrounder,Right hand Bat,Right arm Medium
182,182.0,Vijayakanth Viyaskanth,7.0,140.0,3.0,1.0,1.0,7*,-,0.0,0.0,0.0,0.0,1.0,86.0,10.0,86.0,1/37,8.0,60.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Vijayakanth Viyaskanth.png,,,
183,183.0,Vijaykumar Vyshak,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.0,35.0,14.0,142.0,2/23,9.0,21.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Vijaykumar Vyshak.png,Bowler,Right hand Bat,Right arm Medium
184,184.0,Virat Kohli,741.0,154.0,15.0,15.0,3.0,113*,61,4.0,5.0,1.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png,Top order Batter,Right hand Bat,Right arm Medium
185,185.0,Washington Sundar,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,73.0,5.0,73.0,1/46,14.0,30.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/SRH.png?,https://scores.iplt20.com/ipl/playerimages/Washington Sundar.png,Bowling Allrounder,Left hand Bat,Right arm Offbreak
186,186.0,Wriddhiman Saha,136.0,118.0,9.0,9.0,0.0,39,15,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/GT.png?,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png,Wicketkeeper Batter,Right hand Bat,DNB
187,187.0,Yash Dayal,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,15.0,30.0,50.0,459.0,3/20,9.0,20.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RCB.png?,https://scores.iplt20.com/ipl/playerimages/Yash Dayal.png,Bowler,Right hand Bat,Left arm Medium fast
188,188.0,Yash Thakur,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,11.0,36.0,35.0,402.0,5/30,11.0,19.0,0.0,1.0,1.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Yash Thakur.png,Bowler,Right hand Bat,Right arm Fast medium
189,189.0,Yashasvi Jaiswal,435.0,155.0,16.0,15.0,1.0,104*,31,3.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Yashasvi Jaiswal.png,Opening Batter,Left hand Bat,Legbreak
190,190.0,Yudhvir Singh,21.0,150.0,2.0,2.0,0.0,14,10,0.0,0.0,0.0,2.0,1.0,52.0,4.0,52.0,1/24,13.0,24.0,0.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/LSG.png?,https://scores.iplt20.com/ipl/playerimages/Yudhvir Singh.png,Bowler,Right hand Bat,Right arm Medium fast
191,191.0,Yuzvendra Chahal,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,18.0,30.0,58.0,546.0,3/11,9.0,19.0,1.0,0.0,0.0,https://scores.iplt20.com/ipl/teamlogos/RR.png?,https://scores.iplt20.com/ipl/playerimages/Yuzvendra Chahal.png,Bowler,Right hand Bat,Legbreak Googly
192,,Akash Singh,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Akash Singh.png,Bowler,Right hand Bat,Left arm Medium fast
193,,Bhagath Varma,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Bhagath Varma.png,Bowling Allrounder,Right hand Bat,Right arm Offbreak
194,,Devon Conway,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Devon Conway.png,Wicketkeeper Batter,Left hand Bat,Right arm Medium
195,,Rajvardhan Hangargekar,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Rajvardhan Hangargekar.png,Bowling Allrounder,Right hand Bat,Right arm Fast medium
196,,Sisanda Magala,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Sisanda Magala.png,Bowler,Right hand Bat,Right arm Fast medium
197,,Ajay Mandal,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Ajay Mandal.png,Allrounder,Left hand Bat,Slow Left arm Orthodox
198,,Dwaine Pretorius,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Dwaine Pretorius.png,Bowling Allrounder,Right hand Bat,Right arm Medium fast
199,,Shaik Rasheed,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Shaik Rasheed.png,Batter,Right hand Bat,Legbreak
200,,Ambati Rayudu,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png,Middle order Batter,Right hand Bat,Right arm Offbreak
201,,Subhranshu Senapati,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Subhranshu Senapati.png,Top order Batter,Right hand Bat,Right arm Medium
202,,Nishant Sindhu,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Nishant Sindhu.png,Allrounder,Left hand Bat,Slow Left arm Orthodox
203,,Prashant Solanki,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Prashant Solanki.png,Bowler,Right hand Bat,Legbreak
204,,Ben Stokes,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Ben Stokes.png,Allrounder,Left hand Bat,Right arm Fast medium
205,,Kyle Jamieson,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Kyle Jamieson.png,Bowler,Right hand Bat,Right arm Fast medium
206,,Mukesh Choudhary,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/playerimages/Mukesh Choudhary.png,Bowler,Left hand Bat,Left arm Medium
207,,Aman Hakim Khan,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/playerimages/Aman Hakim Khan.png,Allrounder,Right hand Bat,Right arm Medium
208,,Yash Dhull,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/playerimages/Yash Dhull.png,Top order Batter,Right hand Bat,Right arm Offbreak
209,,Praveen Dubey,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/playerimages/Praveen Dubey.png,Bowler,Right hand Bat,Legbreak Googly
210,,Priyam Garg,,,,,,,,,,,,,,,,,,,,,,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/playerimages/Priyam Garg.png,Top order Batter,Right hand Bat,Right arm Medium
